"new.names";"old.names"
"SPR01D_R1.fastq.gz";"LR068_R1.fastq.gz"
"SPR01D_R2.fastq.gz";"LR068_R2.fastq.gz"
"SPR02D_R1.fastq.gz";"LR069_R1.fastq.gz"
"SPR02D_R2.fastq.gz";"LR069_R2.fastq.gz"
"SPR03D_R1.fastq.gz";"LR070_R1.fastq.gz"
"SPR03D_R2.fastq.gz";"LR070_R2.fastq.gz"
"SPR04D_R1.fastq.gz";"LR071_R1.fastq.gz"
"SPR04D_R2.fastq.gz";"LR071_R2.fastq.gz"
"SPR05D_R1.fastq.gz";"LR072_R1.fastq.gz"
"SPR05D_R2.fastq.gz";"LR072_R2.fastq.gz"
"SPR06D_R1.fastq.gz";"LR073_R1.fastq.gz"
"SPR06D_R2.fastq.gz";"LR073_R2.fastq.gz"
"SPR07D_R1.fastq.gz";"LR074_R1.fastq.gz"
"SPR07D_R2.fastq.gz";"LR074_R2.fastq.gz"
"SPR08D_R1.fastq.gz";"LR075_R1.fastq.gz"
"SPR08D_R2.fastq.gz";"LR075_R2.fastq.gz"
"SPR09D_R1.fastq.gz";"LR076_R1.fastq.gz"
"SPR09D_R2.fastq.gz";"LR076_R2.fastq.gz"
"SPR10D_R1.fastq.gz";"LR077_R1.fastq.gz"
"SPR10D_R2.fastq.gz";"LR077_R2.fastq.gz"
"SLR01D_R1.fastq.gz";"LR078_R1.fastq.gz"
"SLR01D_R2.fastq.gz";"LR078_R2.fastq.gz"
"SLR02D_R1.fastq.gz";"LR079_R1.fastq.gz"
"SLR02D_R2.fastq.gz";"LR079_R2.fastq.gz"
"SLR04D_R1.fastq.gz";"LR080_R1.fastq.gz"
"SLR04D_R2.fastq.gz";"LR080_R2.fastq.gz"
"SEDLR10D_R1.fastq.gz";"LR081_R1.fastq.gz"
"SEDLR10D_R2.fastq.gz";"LR081_R2.fastq.gz"
"SEDLR10DSeq_R1.fastq.gz";"LR081d_R1.fastq.gz"
"SEDLR10DSeq_R2.fastq.gz";"LR081d_R2.fastq.gz"
"SEDLR12D_R1.fastq.gz";"LR082_R1.fastq.gz"
"SEDLR12D_R2.fastq.gz";"LR082_R2.fastq.gz"
"SEDLR14D_R1.fastq.gz";"LR083_R1.fastq.gz"
"SEDLR14D_R2.fastq.gz";"LR083_R2.fastq.gz"
"SEDL313D_R1.fastq.gz";"LR084_R1.fastq.gz"
"SEDL313D_R2.fastq.gz";"LR084_R2.fastq.gz"
"SEDL314D_R1.fastq.gz";"LR085_R1.fastq.gz"
"SEDL314D_R2.fastq.gz";"LR085_R2.fastq.gz"
"SED315D_R1.fastq.gz";"LR086_R1.fastq.gz"
"SED315D_R2.fastq.gz";"LR086_R2.fastq.gz"
"SED315DSeq_R1.fastq.gz";"LR086d_R1.fastq.gz"
"SED315DSeq_R2.fastq.gz";"LR086d_R2.fastq.gz"
"SED316D_R1.fastq.gz";"LR087_R1.fastq.gz"
"SED316D_R2.fastq.gz";"LR087_R2.fastq.gz"
"SED317D_R1.fastq.gz";"LR088_R1.fastq.gz"
"SED317D_R2.fastq.gz";"LR088_R2.fastq.gz"
"SED318D_R1.fastq.gz";"LR089_R1.fastq.gz"
"SED318D_R2.fastq.gz";"LR089_R2.fastq.gz"
"SED319D_R1.fastq.gz";"LR090_R1.fastq.gz"
"SED319D_R2.fastq.gz";"LR090_R2.fastq.gz"
"LRH11D_R1.fastq.gz";"LR091_R1.fastq.gz"
"LRH11D_R2.fastq.gz";"LR091_R2.fastq.gz"
"LRH14D_R1.fastq.gz";"LR092_R1.fastq.gz"
"LRH14D_R2.fastq.gz";"LR092_R2.fastq.gz"
"LRH15D_R1.fastq.gz";"LR093_R1.fastq.gz"
"LRH15D_R2.fastq.gz";"LR093_R2.fastq.gz"
"LR24D_R1.fastq.gz";"LR094_R1.fastq.gz"
"LR24D_R2.fastq.gz";"LR094_R2.fastq.gz"
"LR27D_R1.fastq.gz";"LR095_R1.fastq.gz"
"LR27D_R2.fastq.gz";"LR095_R2.fastq.gz"
"LR29D_R1.fastq.gz";"LR096_R1.fastq.gz"
"LR29D_R2.fastq.gz";"LR096_R2.fastq.gz"
"LR31D_R1.fastq.gz";"LR097_R1.fastq.gz"
"LR31D_R2.fastq.gz";"LR097_R2.fastq.gz"
"LR32D_R1.fastq.gz";"LR098_R1.fastq.gz"
"LR32D_R2.fastq.gz";"LR098_R2.fastq.gz"
"LR34D_R1.fastq.gz";"LR099_R1.fastq.gz"
"LR34D_R2.fastq.gz";"LR099_R2.fastq.gz"
"LR35D_R1.fastq.gz";"LR100_R1.fastq.gz"
"LR35D_R2.fastq.gz";"LR100_R2.fastq.gz"
"LR36D_R1.fastq.gz";"LR101_R1.fastq.gz"
"LR36D_R2.fastq.gz";"LR101_R2.fastq.gz"
"LR37D_R1.fastq.gz";"LR102_R1.fastq.gz"
"LR37D_R2.fastq.gz";"LR102_R2.fastq.gz"
"LR38D_R1.fastq.gz";"LR103_R1.fastq.gz"
"LR38D_R2.fastq.gz";"LR103_R2.fastq.gz"
"LR39D_R1.fastq.gz";"LR104_R1.fastq.gz"
"LR39D_R2.fastq.gz";"LR104_R2.fastq.gz"
"LR40D_R1.fastq.gz";"LR105_R1.fastq.gz"
"LR40D_R2.fastq.gz";"LR105_R2.fastq.gz"
"LR41D_R1.fastq.gz";"LR106_R1.fastq.gz"
"LR41D_R2.fastq.gz";"LR106_R2.fastq.gz"
